GENE NAME,Anterior cortex1,Anterior cortex2,Anterior cortex3,Posterior cortex1,Posterior cortex2,Posterior cortex3,Hippocampus1,Hippocampus2,Hippocampus3,Striatum1,Striatum2,Striatum3,Olfactory bulb1,Olfactory bulb2,Olfactory bulb3,Cerebellum1,Cerebellum2,Cerebellum3
Sptan1,101.3,101.1,100.0,94.3,93.6,93.6,116.5,115.1,114.5,92.7,93.5,94.0,88.7,90.5,90.5,106.5,106.2,107.3
Atp1a3,99.9,99.3,96.5,94.2,96.0,94.2,125.4,119.3,126.2,92.4,87.3,92.6,103.3,97.5,103.7,84.8,100.6,86.7
Dync1h1,112.1,113.8,113.4,103.4,104.6,104.5,95.1,93.4,92.8,100.0,100.6,100.6,102.3,102.5,103.1,87.1,85.0,85.6
Cltc,110.5,113.0,113.0,115.7,111.2,111.2,114.3,111.3,111.6,110.8,113.7,113.7,82.3,84.5,83.7,66.4,66.4,66.9
Atp1a2,96.5,83.4,95.3,86.4,75.6,88.6,108.9,101.6,109.9,82.2,82.2,82.5,94.6,101.4,94.5,131.5,155.9,129.3
Atp1a1,132.0,132.5,135.9,100.1,104.1,103.4,59.6,57.5,57.0,77.7,79.3,77.0,58.4,56.4,55.3,172.2,170.1,171.3
Ank2,0.0,97.4,101.6,75.3,89.6,91.8,60.3,107.1,106.2,75.4,97.9,95.0,80.4,89.7,87.8,308.7,118.3,117.6
Plec,121.8,121.2,120.7,122.9,119.0,119.5,114.9,114.0,114.7,90.9,93.5,93.1,68.1,69.1,68.9,81.5,83.2,83.0
Tubb4b,114.1,97.8,113.0,106.0,185.6,109.2,86.9,87.5,94.7,99.5,81.4,99.7,111.8,89.1,103.1,81.6,58.6,80.3
Tubb2a,115.4,124.2,124.4,106.3,112.1,112.0,102.5,122.8,123.0,100.5,102.1,102.0,113.1,95.0,94.5,62.1,43.8,44.1
Atp5f1b,67.9,77.7,77.7,91.2,90.4,91.3,82.9,84.2,84.5,111.6,108.8,108.5,137.3,131.3,129.7,109.1,107.6,108.3
Tubb2b,84.1,76.3,76.1,87.9,89.7,89.3,98.8,107.7,107.3,70.1,76.6,76.4,224.9,207.6,208.5,34.2,42.1,42.4
Tubb4a,96.2,112.9,109.5,91.2,107.6,97.4,81.9,96.2,91.4,101.0,100.3,91.0,58.4,100.8,74.5,171.4,82.2,136.1
Tubb5,117.7,122.7,123.4,99.4,107.0,105.9,85.8,88.9,89.3,95.1,92.8,92.8,140.9,128.9,129.4,61.1,59.7,59.3
Bsn,115.5,119.5,119.5,108.0,108.4,107.3,127.3,125.2,124.7,106.9,106.6,107.0,59.4,59.3,60.0,82.8,80.9,81.4
Sptbn2,108.9,109.4,107.5,116.8,116.6,116.9,149.3,145.2,144.4,81.3,81.6,82.0,58.4,61.6,62.1,85.3,85.7,87.1
Tubb3,114.9,113.0,112.5,98.3,105.3,104.6,88.8,87.8,87.1,103.2,108.8,108.8,148.9,141.0,143.1,46.0,44.1,44.0
Tuba1a,108.9,116.4,116.5,114.7,115.5,115.1,103.9,95.2,95.0,97.2,92.0,91.7,108.9,116.7,117.1,66.4,64.2,64.6
Atp5f1a,70.6,75.3,76.7,90.3,90.0,88.3,83.3,81.7,81.5,112.0,111.0,110.2,132.7,134.3,135.8,111.0,107.7,107.6
